,rA,rp
1/31/17,0.022182962,0.008521412
2/28/17,-0.089761986,0.022410062
3/31/17,-0.023304467,-0.048472855
4/28/17,-0.020242792,0.0191037
5/31/17,0.113609433,-0.02375666
6/30/17,-0.010097235,0.055078853
7/31/17,-0.012841478,-0.020397045
8/31/17,0.007854736,0.04588175
9/29/17,0.137912045,0.059528387
10/31/17,0.010194255,0.002332215
11/30/17,0.029527548,0.053016302
12/29/17,-0.006566587,0.030058623
1/31/18,0.197749557,0.027172384
2/28/18,-0.053696073,-0.061276269
3/29/18,0.017428722,0.001795663
4/30/18,-0.081471835,-0.01305736
5/31/18,0.108397418,0.041465168
6/29/18,-0.032100945,-0.020268801
7/31/18,-0.007020919,0.038181246
8/31/18,-0.124681951,0.033724893
9/28/18,-0.027051415,-0.008638363
10/31/18,-0.038532506,-0.1168133
11/30/18,0.038395945,0.076351351
12/31/18,-0.182516639,-0.159043088
1/31/19,0.136978193,0.124251613
2/28/19,0.032278712,0.029127669
3/29/19,-0.10121028,-0.02050979
4/30/19,0.067455354,0.046334656
5/31/19,-0.208267294,-0.109283618
6/28/19,0.145200562,0.09268318
7/31/19,0.023259048,0.030218774
8/30/19,-0.043010917,-0.063580023
9/30/19,0.153216415,0.035969585
10/31/19,-0.013184645,0.022120292
11/29/19,0.05782273,0.034466271
12/31/19,0.032917244,-0.000902987
1/31/20,-0.092169168,-0.020677825
2/28/20,-0.122157614,-0.122083005
3/31/20,-0.310505116,-0.207724089
4/30/20,0.304499098,0.101582158
5/29/20,0.059313588,0.08659444
6/30/20,0.01462724,0.014412457
7/31/20,0.008060621,0.031025284
8/31/20,0.204674884,0.110275207
9/30/20,-0.069696211,-0.037921361
10/30/20,0.040065976,0.007222646
11/30/20,0.174802085,0.188833775
12/31/20,0.0342503,0.027847263
1/29/21,-0.036807793,-0.021297554
2/26/21,0.014541854,0.163922861
3/31/21,0.031111042,0.084808082
4/30/21,0.084698269,0.015998162
5/28/21,0.059716272,0.022494705
6/30/21,-0.077996715,-0.064983279
7/30/21,0.031914765,-0.023425525
8/31/21,-0.123810442,0.035559427
9/30/21,-0.023262232,0.008427732
10/29/21,0.129841283,0.0492372
11/30/21,0.0016902,-0.004846947
12/30/21,0.069509254,0.041507902
